iter	Passed	Remaining
0	104	103962
1	104	52251
2	105	35010
3	105	26380
4	106	21189
5	106	17723
6	107	15250
7	108	13394
8	108	11949
9	109	10794
10	109	9852
11	110	9072
12	110	8408
13	111	7851
14	112	7359
15	112	6946
16	113	6564
17	114	6223
18	114	5918
19	115	5644
20	115	5400
21	116	5177
22	117	4971
23	117	4781
24	118	4608
25	118	4446
26	119	4297
27	119	4157
28	120	4027
29	120	3905
30	121	3791
31	121	3684
32	122	3586
33	122	3494
34	123	3405
35	124	3322
36	124	3245
37	125	3174
38	125	3103
39	126	3036
40	127	2974
41	127	2914
42	128	2855
43	128	2799
44	129	2746
45	130	2699
46	130	2651
47	131	2604
48	131	2561
49	132	2518
50	133	2476
51	133	2435
52	134	2396
53	134	2358
54	135	2322
55	135	2287
56	136	2253
57	136	2221
58	137	2190
59	137	2161
60	140	2155
61	141	2135
62	142	2112
63	142	2085
64	143	2058
65	143	2033
66	144	2007
67	145	1987
68	146	1971
69	146	1952
70	147	1933
71	148	1914
72	149	1894
73	149	1875
74	150	1860
75	152	1848
76	153	1835
77	153	1819
78	154	1803
79	155	1785
80	157	1787
81	158	1771
82	158	1755
83	159	1738
84	160	1723
85	160	1708
86	161	1693
87	162	1679
88	162	1666
89	165	1669
90	165	1655
91	166	1642
92	167	1629
93	167	1616
94	168	1606
95	169	1594
96	169	1581
97	170	1569
98	171	1558
99	171	1546
100	172	1534
101	172	1523
102	173	1511
103	174	1499
104	174	1489
105	175	1478
106	176	1471
107	176	1460
108	177	1451
109	178	1440
110	178	1430
111	179	1420
112	179	1410
113	180	1400
114	180	1390
115	181	1381
116	181	1372
117	182	1363
118	183	1355
119	183	1347
120	184	1339
121	185	1331
122	185	1324
123	186	1317
124	187	1310
125	187	1303
126	188	1298
127	189	1290
128	190	1283
129	191	1279
130	191	1272
131	192	1265
132	193	1258
133	193	1251
134	194	1244
135	194	1237
136	195	1230
137	195	1223
138	196	1217
139	197	1213
140	198	1207
141	198	1200
142	199	1194
143	199	1187
144	200	1180
145	200	1174
146	201	1168
147	201	1162
148	202	1156
149	203	1150
150	203	1145
151	204	1140
152	204	1134
153	205	1129
154	206	1123
155	206	1117
156	207	1112
157	207	1107
158	208	1101
159	208	1096
160	209	1090
161	209	1085
162	210	1079
163	210	1074
164	211	1069
165	211	1064
166	212	1059
167	212	1054
168	213	1049
169	213	1044
170	214	1039
171	214	1034
172	215	1032
173	216	1027
174	217	1024
175	217	1019
176	218	1015
177	218	1010
178	219	1006
179	219	1002
180	220	997
181	221	993
182	221	988
183	222	984
184	222	980
185	223	976
186	223	972
187	224	968
188	224	964
189	225	960
190	225	956
191	226	952
192	226	948
193	227	944
194	227	941
195	228	937
196	229	933
197	229	929
198	230	926
199	230	923
200	231	919
201	231	916
202	232	912
203	233	909
204	233	906
205	234	903
206	235	900
207	235	897
208	236	894
209	236	890
210	237	887
211	237	884
212	238	880
213	238	877
214	239	873
215	239	870
216	240	867
217	241	864
218	241	861
219	242	858
220	242	855
221	243	852
222	243	849
223	244	846
224	245	844
225	245	841
226	246	838
227	246	835
228	247	832
229	247	829
230	248	826
231	248	823
232	249	821
233	250	818
234	250	815
235	251	812
236	251	810
237	252	807
238	252	804
239	253	802
240	254	800
241	254	797
242	255	795
243	255	792
244	256	789
245	256	787
246	257	784
247	258	782
248	258	780
249	259	777
250	259	775
251	260	772
252	260	769
253	261	767
254	261	765
255	262	762
256	262	760
257	263	758
258	264	755
259	264	753
260	265	751
261	265	748
262	266	746
263	267	744
264	267	742
265	268	740
266	268	737
267	269	735
268	269	733
269	270	731
270	271	730
271	272	728
272	272	726
273	273	724
274	273	722
275	275	722
276	276	721
277	277	719
278	277	717
279	278	715
280	278	713
281	279	711
282	279	709
283	280	706
284	280	704
285	281	702
286	282	700
287	282	698
288	283	696
289	283	694
290	284	692
291	284	690
292	285	689
293	286	687
294	286	685
295	287	684
296	288	682
297	288	680
298	289	678
299	289	676
300	290	674
301	290	672
302	291	670
303	291	668
304	292	666
305	292	664
306	293	662
307	294	660
308	294	658
309	295	657
310	295	655
311	296	653
312	296	651
313	297	649
314	298	648
315	298	646
316	299	644
317	299	642
318	300	640
319	300	639
320	301	637
321	301	635
322	302	633
323	303	632
324	303	630
325	304	628
326	304	627
327	305	625
328	305	623
329	306	621
330	306	620
331	307	619
332	308	617
333	308	615
334	309	614
335	309	612
336	310	610
337	310	608
338	311	607
339	312	606
340	312	604
341	313	603
342	314	601
343	314	600
344	315	598
345	315	596
346	316	595
347	316	593
348	317	592
349	317	590
350	318	588
351	318	586
352	319	585
353	319	583
354	320	582
355	320	580
356	321	578
357	321	577
358	322	576
359	323	574
360	323	572
361	324	571
362	324	569
363	325	568
364	326	567
365	326	566
366	327	564
367	327	563
368	328	561
369	328	560
370	329	558
371	330	557
372	330	555
373	331	554
374	331	552
375	332	551
376	332	549
377	333	548
378	333	547
379	334	545
380	334	544
381	335	542
382	335	541
383	336	539
384	337	538
385	337	537
386	338	535
387	338	534
388	339	532
389	339	531
390	340	530
391	340	528
392	341	527
393	341	525
394	342	524
395	342	522
396	343	521
397	343	520
398	344	518
399	344	517
400	345	515
401	345	514
402	346	513
403	346	511
404	347	510
405	347	509
406	348	507
407	349	506
408	349	505
409	350	503
410	350	502
411	351	501
412	351	500
413	352	498
414	353	497
415	353	496
416	354	495
417	354	494
418	355	492
419	355	491
420	356	490
421	356	488
422	357	487
423	357	486
424	358	484
425	358	483
426	359	482
427	359	481
428	360	479
429	360	478
430	361	477
431	362	476
432	362	474
433	363	473
434	363	472
435	364	471
436	364	469
437	365	468
438	365	467
439	366	466
440	367	465
441	367	464
442	368	463
443	368	461
444	369	460
445	369	459
446	370	458
447	370	456
448	371	455
449	371	454
450	372	453
451	372	452
452	373	450
453	373	449
454	374	448
455	375	447
456	375	446
457	376	445
458	376	443
459	377	442
460	377	441
461	378	440
462	378	439
463	379	438
464	380	437
465	380	436
466	381	435
467	381	433
468	382	432
469	382	431
470	383	430
471	383	429
472	384	428
473	384	427
474	385	425
475	385	424
476	386	423
477	387	422
478	387	421
479	388	420
480	388	419
481	389	418
482	389	417
483	390	416
484	390	414
485	391	413
486	392	413
487	392	412
488	393	411
489	393	409
490	394	408
491	394	407
492	395	406
493	395	405
494	396	404
495	397	403
496	397	402
497	398	401
498	398	400
499	399	399
500	399	398
501	400	396
502	400	395
503	401	394
504	401	393
505	402	392
506	402	391
507	403	390
508	403	389
509	404	388
510	405	387
511	406	386
512	406	386
513	407	385
514	407	383
515	408	382
516	408	381
517	409	380
518	409	379
519	410	378
520	410	377
521	411	376
522	411	375
523	412	374
524	412	373
525	413	372
526	414	371
527	414	370
528	415	369
529	415	368
530	416	367
