iter	Passed	Remaining
0	0	739
1	1	638
2	1	608
3	2	590
4	2	581
5	3	597
6	4	597
7	4	592
8	5	585
9	5	575
10	6	571
11	6	565
12	7	561
13	7	557
14	8	553
15	8	552
16	9	551
17	10	553
18	10	551
19	11	547
20	11	546
21	12	543
22	12	541
23	13	539
24	13	538
25	14	536
26	14	533
27	15	531
28	15	531
29	16	535
30	17	534
31	17	533
32	18	532
33	18	531
34	19	530
35	19	528
36	20	527
37	20	526
38	21	524
39	21	524
40	22	525
41	22	523
42	23	523
43	24	522
44	24	521
45	25	520
46	25	518
47	26	518
48	26	517
49	27	515
50	27	514
51	28	515
52	28	514
53	29	513
54	29	512
55	30	511
56	30	510
57	31	510
58	31	509
59	32	508
60	32	507
61	33	506
62	33	505
63	34	506
64	35	505
65	35	505
66	36	504
67	36	503
68	37	502
69	37	502
70	38	501
71	38	500
72	39	499
73	39	498
74	40	498
75	40	498
76	41	496
77	41	496
78	42	495
79	42	494
80	43	493
81	44	492
82	44	489
83	44	489
84	45	489
85	46	489
86	46	488
87	47	488
88	47	487
89	48	486
90	48	486
91	49	485
92	49	484
93	50	484
94	50	483
95	51	482
96	51	481
97	52	481
98	52	481
99	53	480
100	53	479
101	54	479
102	54	478
103	55	477
104	55	477
105	56	476
106	57	475
107	57	475
108	58	476
109	58	475
110	59	476
111	60	476
112	60	475
113	61	474
114	61	473
115	62	473
116	62	471
117	63	470
118	63	470
119	64	469
120	64	469
121	65	467
122	65	467
123	66	466
124	66	466
125	67	465
126	67	464
127	68	463
128	68	463
129	69	461
130	69	460
131	69	459
132	70	458
133	70	457
134	71	456
135	72	459
136	72	459
137	73	459
138	74	459
139	74	458
140	75	457
141	75	456
142	76	455
143	76	454
144	77	454
145	77	454
146	78	453
147	78	452
148	79	451
149	79	451
150	80	450
151	80	449
152	80	448
153	81	447
154	81	446
155	82	445
156	82	444
157	83	443
158	83	443
159	84	442
160	84	440
161	85	440
162	85	439
163	86	438
164	86	437
165	86	436
166	87	436
167	88	435
168	88	435
169	88	434
170	89	433
171	89	432
172	90	432
173	90	431
174	91	431
175	91	430
176	92	429
177	92	428
178	93	427
179	93	427
180	94	426
181	94	425
182	95	424
183	95	424
184	96	423
185	96	422
186	97	422
187	97	421
188	98	420
189	98	420
190	99	419
191	99	419
192	100	418
193	100	417
194	100	416
195	101	415
196	101	415
197	102	414
198	102	414
199	103	413
200	103	413
201	104	412
202	104	411
203	105	410
204	105	410
205	106	409
206	106	408
207	107	407
208	107	407
209	108	406
210	108	405
211	109	405
212	109	404
213	110	404
214	110	403
215	110	402
216	111	401
217	111	401
218	112	400
219	112	399
220	113	399
221	113	398
222	114	397
223	114	397
224	115	396
225	115	396
226	116	395
227	116	395
228	117	394
229	117	394
230	118	393
231	118	392
232	119	392
233	119	391
234	120	390
235	120	390
236	121	389
237	121	389
238	121	388
239	122	387
240	122	387
241	123	386
242	123	386
243	124	385
244	124	385
245	125	384
246	125	383
247	126	384
248	127	384
249	127	383
250	128	383
251	128	382
252	129	381
253	129	381
254	130	380
255	130	380
256	131	379
257	131	378
258	132	378
259	132	377
260	133	376
261	133	376
262	134	375
263	134	375
264	135	374
265	135	373
266	135	373
267	136	372
268	136	371
269	137	371
270	137	370
271	138	370
272	138	369
273	139	368
274	140	369
275	140	369
276	141	368
277	141	368
278	142	367
279	142	366
280	143	366
281	143	365
282	144	364
283	144	364
284	145	363
285	145	363
286	146	362
287	146	362
288	147	361
289	147	361
290	148	360
291	148	360
292	149	359
293	149	358
294	149	358
295	150	357
296	150	357
297	151	356
298	151	355
299	152	355
300	152	354
301	153	354
302	153	353
303	154	353
304	154	352
305	155	351
306	155	351
307	156	350
308	156	350
309	156	349
310	157	348
311	157	348
312	158	347
313	158	347
314	159	346
315	159	345
316	160	345
317	160	344
318	161	344
319	161	343
320	162	342
321	162	342
322	162	341
323	163	340
324	163	340
325	164	339
326	164	339
327	165	338
328	165	338
329	166	337
330	166	337
331	167	336
332	167	336
333	168	335
334	168	334
335	169	334
336	169	333
337	170	332
338	170	332
339	170	331
340	171	331
341	171	330
342	172	330
343	172	329
344	173	328
345	173	328
346	174	327
347	174	327
348	175	326
349	175	325
350	175	325
351	176	324
352	176	324
353	177	323
354	177	322
355	178	322
356	178	321
357	179	321
358	179	320
359	180	320
360	180	319
361	180	318
362	181	318
363	181	317
364	182	317
365	182	316
366	183	316
367	183	315
368	184	315
369	184	314
370	185	314
371	185	313
372	186	313
373	186	312
374	187	312
375	187	311
376	188	310
377	188	310
378	189	309
379	189	309
380	190	308
381	190	308
382	190	307
383	191	307
384	191	306
385	192	306
386	192	305
387	193	304
388	193	304
389	194	303
390	194	303
391	195	302
392	195	302
393	196	301
394	196	301
395	197	300
396	197	300
397	198	299
398	198	298
399	198	298
400	199	297
401	199	297
402	200	296
403	200	296
404	201	295
405	201	295
406	202	294
407	202	293
408	203	293
409	203	292
410	203	292
411	204	291
412	204	291
413	205	290
